date,A,B,C,D
2017-01-01,6.2,0,0,22
2017-02-01,6.2,0,4.9,27.5
2017-03-01,9.3,0,9.8,27.5
2017-04-01,9.3,0,9.8,27.5
2017-05-01,12.4,0,9.8,27.5
2017-06-01,12.4,0,9.8,33
2017-07-01,15.5,0,19.6,33
2017-08-01,21.7,0,19.6,27.5
2017-09-01,21.7,0,14.7,27.5
2017-10-01,24.8,0,19.6,27.5
2017-11-01,21.7,0,19.6,38.5
2017-12-01,24.8,0,19.6,33
2018-01-01,27.9,0,14.7,33
2018-02-01,21.7,0,19.6,33
2018-03-01,24.8,0,19.6,33
2018-04-01,24.8,0,14.7,33
2018-05-01,24.8,0,14.7,27.5
2018-06-01,27.9,6.2,19.6,33
2018-07-01,27.9,6.2,19.6,33
2018-08-01,27.9,6.2,9.8,33
2018-09-01,31,6.2,19.6,38.5
2018-10-01,31,6.2,19.6,33
2018-11-01,34.1,6.2,19.6,38.5
2018-12-01,34.1,6.2,19.6,33
2019-01-01,27.9,6.2,24.5,33
2019-02-01,27.9,6.2,34.3,33
2019-03-01,27.9,6.2,24.5,33
2019-04-01,27.9,6.2,29.4,44
2019-05-01,34.1,6.2,39.2,33
2019-06-01,34.1,6.2,39.2,33
2019-07-01,31,6.2,29.4,33
2019-08-01,31,6.2,19.6,33
2019-09-01,21.7,6.2,19.6,22
2019-10-01,15.5,6.2,14.7,11
2019-11-01,6.2,6.2,4.9,11
2019-12-01,0,6.2,0,5.5
